======================================
Ranking by: stats.total_rounds
Generated at: 2026-01-07 09:16:24
Total players: 1232
======================================

Rank  	Value       	Player Name
1056  	704         	一田
1057  	704         	八九边7
1058  	704         	漆黑似夜
1059  	704         	真心
1060  	704         	菠萝吹雪
1061  	720         	mika
1062  	720         	嗯好可以行
1063  	720         	新建文件夹
1064  	720         	李风乐
1065  	720         	糊涂蜜蜜
1066  	736         	lhwayne
1067  	736         	相川まりえ
1068  	752         	lagrange1013
1069  	752         	大可乐
1070  	752         	小蚊子
1071  	752         	章无律
1072  	752         	蓝天skyhuner
1073  	768         	YOUGA
1074  	768         	东方雁
1075  	768         	酱油蛙
1076  	768         	金大爸
1077  	768         	鸟苷三磷酸
1078  	784         	Duke
1079  	784         	Randy
1080  	784         	举个栗子
1081  	784         	葫芦丶娃
1082  	794         	Krtecek
1083  	800         	东宫之主
1084  	800         	落英
1085  	804         	虹村雪
1086  	815         	卡卡
1087  	816         	calzhulator
1088  	816         	lidai
1089  	816         	一只柠檬
1090  	816         	北宸星落
1091  	816         	只打八万
1092  	816         	小孙看电视
1093  	816         	龙lwf
1094  	832         	alaya23
1095  	832         	kk
1096  	832         	八番就好
1097  	832         	天使的秤
1098  	832         	放浪雀士
1099  	832         	逆光w
1100  	844         	小天天err
1101  	848         	心悦
1102  	864         	游侠小卢
1103  	864         	鬼手大师兄
1104  	880         	元原园神
1105  	884         	bluff
1106  	894         	张磊
1107  	895         	流沙
1108  	896         	ugly2333
1109  	897         	襄下樊人
1110  	928         	AGAHC
1111  	940         	希岸子
1112  	944         	弧龍星
1113  	944         	翔鹰
1114  	944         	霹雳911
1115  	957         	和绝张
1116  	960         	Encyclopedia
1117  	960         	枭风雀庄
1118  	975         	陈楠
1119  	976         	yyyyy
1120  	976         	未济
1121  	984         	TYS
1122  	992         	三门齐
1123  	992         	恐怖福瑞
1124  	992         	长风
1125  	1008        	Buffon
1126  	1024        	zerozeng
1127  	1024        	暗刻来了
1128  	1035        	陌猪猪
1129  	1040        	LuckyTree
