======================================
Tsumo Rate (自摸率) = tsumo_win_count / win_count
Generated at: 2026-01-09 00:24:22
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
602   	29.33%      	萌新99成              	861
603   	29.32%      	全效进张             	528
604   	29.31%      	Inf                      	1952
605   	29.31%      	南方孤影             	1200
606   	29.29%      	典狱长                	304
607   	29.27%      	幻尘                   	240
608   	29.27%      	小学生                	160
609   	29.27%      	cslp                     	224
610   	29.26%      	山前没相见          	2656
611   	29.26%      	吕布                   	907
612   	29.26%      	微辣就行             	720
613   	29.25%      	山丹丹开花          	3917
614   	29.23%      	Restist                  	544
615   	29.21%      	蒙题王                	368
616   	29.19%      	小熊摊手             	853
617   	29.17%      	静座                   	112
618   	29.17%      	菜鸟123                	596
619   	29.17%      	立直大王             	128
620   	29.17%      	橙留香                	384
621   	29.17%      	拈牌一笑             	1341
622   	29.17%      	抱米花哦             	224
623   	29.17%      	吴下阿蒙             	80
624   	29.17%      	cdg                      	112
625   	29.17%      	Koucha                   	368
626   	29.16%      	Tibochapo                	1488
627   	29.13%      	小笨鸟                	5389
628   	29.12%      	逻辑猫                	960
629   	29.11%      	封兽鵺                	1593
630   	29.11%      	八九胡十万          	2882
631   	29.11%      	bonbujour                	880
632   	29.10%      	恐怖福瑞             	992
633   	29.10%      	ikun鸡打王            	3680
634   	29.09%      	傻逼克高手          	256
635   	29.08%      	三点水                	6590
636   	29.08%      	天使的浦             	624
637   	29.07%      	泡哥                   	2594
638   	29.07%      	蓝十                   	1024
639   	29.06%      	萌新大白獭          	3161
640   	29.05%      	CHAGA02                  	28121
641   	29.03%      	铁铳王                	128
642   	29.02%      	菲洛菲洛菲          	712
643   	28.99%      	Mo鱼                    	2308
644   	28.98%      	小玖                   	7052
645   	28.95%      	ws1221                   	464
646   	28.94%      	冰雪分类             	2384
647   	28.92%      	Yuki琪琪               	2736
648   	28.90%      	威震逍遥津          	864
649   	28.89%      	长崎素世             	411
650   	28.89%      	聆风秋邻             	608
651   	28.89%      	妙也                   	272
652   	28.89%      	CHAGA06                  	996
653   	28.87%      	漆黑似夜             	2448
654   	28.87%      	星云                   	2718
655   	28.87%      	homasWSC                 	1300
656   	28.85%      	吾愿汝                	496
657   	28.85%      	ssshamu                  	224
658   	28.85%      	pcx1078                  	1271
659   	28.82%      	PetrCech                 	972
660   	28.81%      	技零运十             	256
661   	28.81%      	正确每一打          	2012
662   	28.80%      	打九万来九万       	1366
663   	28.79%      	笨笨                   	224
664   	28.78%      	襄下樊人             	4252
665   	28.76%      	樱华                   	4689
666   	28.75%      	乙二胺四乙酸       	416
667   	28.74%      	geruome                  	2823
668   	28.72%      	duncan21                 	855
669   	28.69%      	空想少女             	1660
670   	28.68%      	业6forever              	6113
671   	28.66%      	陈楠                   	3228
672   	28.62%      	天使的秤             	4338
673   	28.62%      	一只柠檬             	3490
674   	28.59%      	张磊                   	2478
675   	28.57%      	雪华yukivv             	80
676   	28.57%      	锦亚澄                	32
677   	28.57%      	装饰                   	16
678   	28.57%      	菲利                   	96
679   	28.57%      	花顺双抽             	160
680   	28.57%      	花袭人                	80
681   	28.57%      	自然醒                	192
682   	28.57%      	老张                   	288
683   	28.57%      	绝寂                   	128
684   	28.57%      	神奇的飞菊          	544
685   	28.57%      	真城璃茉             	96
686   	28.57%      	渣宝                   	176
687   	28.57%      	渋德安                	64
688   	28.57%      	梅梅梅梅             	1472
689   	28.57%      	星官之夏             	560
690   	28.57%      	日安夜愿             	64
691   	28.57%      	无奈喵                	112
692   	28.57%      	戮默                   	48
693   	28.57%      	小米                   	96
694   	28.57%      	孤山战士             	208
695   	28.57%      	天                      	432
696   	28.57%      	墨色清涟池          	96
697   	28.57%      	嘿嘿嘿哈             	64
698   	28.57%      	卿湫                   	208
699   	28.57%      	zsswg                    	96
700   	28.57%      	ouyousou                 	16
701   	28.57%      	nsbs                     	592
702   	28.57%      	gbnewbie                 	592
703   	28.57%      	Nowherecsb               	256
704   	28.57%      	Lily0818                 	32
705   	28.57%      	Jayden87                 	80
706   	28.57%      	James                    	240
707   	28.57%      	InvisibleP               	272
708   	28.57%      	Eumenides                	64
709   	28.57%      	Cai                      	160
710   	28.57%      	Aspartic11               	64
711   	28.57%      	Amazingkitty             	96
712   	28.54%      	歌彫                   	2311
713   	28.53%      	希岸子                	3622
714   	28.51%      	伯约2                  	1024
715   	28.51%      	冰雪羊之角          	894
716   	28.50%      	翔鹰                   	2944
717   	28.49%      	CHAGA01                  	28473
718   	28.49%      	浓眉小眼             	7602
719   	28.49%      	炙易狐                	4468
720   	28.48%      	喻秋水                	704
721   	28.44%      	bdbw99                   	1440
722   	28.43%      	诈和天地人和       	5798
723   	28.42%      	岚兰                   	2720
724   	28.40%      	AlCu2764                 	992
725   	28.40%      	myy                      	320
726   	28.38%      	CHAGA04                  	28505
727   	28.36%      	初芝雪音             	288
