======================================
Win Rate (和牌率) = win_count / total_rounds
Generated at: 2026-01-09 02:19:49
Total players: 2080
======================================

Rank  	Rate        	Player Name              	Rounds
641   	25.39%      	某届牌王             	256
642   	25.38%      	连六                   	5445
643   	25.38%      	雀蛏                   	394
644   	25.38%      	風林火山             	1056
645   	25.38%      	pluto                    	1856
646   	25.37%      	鬼手大师兄          	2936
647   	25.37%      	灰色天空             	2775
648   	25.36%      	CHAGA08                  	29573
649   	25.36%      	小虫鼬                	1120
650   	25.35%      	东宫之主             	2966
651   	25.35%      	水色如烟             	2556
652   	25.35%      	搞子                   	576
653   	25.35%      	工藤新一             	288
654   	25.35%      	CHAGA01                  	30671
655   	25.33%      	圓點儿                	896
656   	25.33%      	月挽星回             	608
657   	25.33%      	yy小泠                 	608
658   	25.33%      	TristeQ                  	304
659   	25.33%      	MKimiSH                  	1216
660   	25.32%      	伯约                   	2571
661   	25.32%      	yayoi                    	624
662   	25.31%      	点炮防自摸          	320
663   	25.30%      	潇飒                   	984
664   	25.30%      	qwe305836                	1336
665   	25.29%      	陌猪猪                	5844
666   	25.29%      	御剑飞行             	1487
667   	25.28%      	天门                   	1088
668   	25.27%      	笔锋微凉             	368
669   	25.26%      	牛黑奶白             	1136
670   	25.25%      	低级泰坦             	3144
671   	25.25%      	青緺                   	4942
672   	25.24%      	CHAGA03                  	30356
673   	25.24%      	HyZha                    	1668
674   	25.24%      	蛋黄派                	8615
675   	25.22%      	月黑风高夜          	341
676   	25.22%      	SEiYA                    	456
677   	25.21%      	樱小路                	944
678   	25.21%      	小笨鸟                	6224
679   	25.20%      	kima                     	4048
680   	25.20%      	Alismatika               	512
681   	25.19%      	威震逍遥津          	1056
682   	25.19%      	全效进张             	528
683   	25.18%      	洛兰希尔坠星       	560
684   	25.17%      	chen                     	576
685   	25.17%      	lingtong                 	592
686   	25.16%      	Yusaki                   	1280
687   	25.15%      	喵可莉                	1296
688   	25.15%      	hrb                      	2048
689   	25.15%      	橙留香                	688
690   	25.14%      	金大爸                	2112
691   	25.14%      	艳阳天                	1082
692   	25.14%      	海伯利安             	1464
693   	25.14%      	冰雪看看             	3843
694   	25.14%      	Imple                    	736
695   	25.14%      	Ch1ak1                   	736
696   	25.13%      	还在流浪             	768
697   	25.13%      	阿楠                   	784
698   	25.12%      	木辛子                	800
699   	25.12%      	xYz                      	2540
700   	25.11%      	北宸星落             	944
701   	25.08%      	PetrCech                 	1260
702   	25.07%      	小玖                   	7292
703   	25.07%      	流沙                   	3359
704   	25.07%      	xbh要修仙             	1504
705   	25.06%      	张进步                	1648
706   	25.06%      	麻将小白             	5715
707   	25.06%      	拈牌一笑             	1341
708   	25.04%      	CHAGA04                  	30730
709   	25.04%      	雨萌小小酱          	5707
710   	25.02%      	张磊                   	2542
711   	25.00%      	黄英似蛭             	48
712   	25.00%      	麻衣                   	16
713   	25.00%      	鹿鹿                   	16
714   	25.00%      	魔鬼之魂             	16
715   	25.00%      	飞龙在天             	16
716   	25.00%      	雀游屋皮皮          	64
717   	25.00%      	阿亮                   	880
718   	25.00%      	金八成小兔子       	16
719   	25.00%      	连七对                	16
720   	25.00%      	远山黛蓝             	96
721   	25.00%      	这是一个小号       	16
722   	25.00%      	貔貅送分童子       	16
